municipality_mapbiomas,code_muni
Jucurutu,2406106
Jundia,2406155
Lagoa d'Anta,2406205
Lagoa de Pedras,2406304
Lagoa de Velhos,2406403
Lagoa Nova,2406502
Lagoa Salgada,2406601
Lajes,2406700
Lajes Pintadas,2406809
Lucrecia,2406908
Luis Gomes,2407005
Macaiba,2407104
Macau,2407203
Major Sales,2407252
Marcelino Vieira,2407302
Martins,2407401
Maxaranguape,2407500
Messias Targino,2407609
Montanhas,2407708
Monte Alegre,2407807
Monte das Gameleiras,2407906
Mossoro,2408003
Natal,2408102
Nisia Floresta,2408201
Nova Cruz,2408300
Olho d'Agua do Borges,2408409
Ouro Branco,2408508
Parana,2408607
Parau,2408706
Parazinho,2408805
Parelhas,2408904
Rio do Fogo,2408953
Passa e Fica,2409100
Passagem,2409209
Patu,2409308
Santa Maria,2409332
Pau dos Ferros,2409407
Pedra Grande,2409506
Pedra Preta,2409605
Pedro Avelino,2409704
Pedro Velho,2409803
Pendencias,2409902
Piloes,2410009
Poco Branco,2410108
Portalegre,2410207
Porto do Mangue,2410256
Serra Caiada,2410306
Pureza,2410405
Rafael Fernandes,2410504
Rafael Godeiro,2410603
Riacho da Cruz,2410702
Riacho de Santana,2410801
Riachuelo,2410900
Rodolfo Fernandes,2411007
Tibau,2411056
Ruy Barbosa,2411106
Santa Cruz,2411205
Santana do Matos,2411403
Santana do Serido,2411429
Santo Antonio,2411502
Sao Bento do Norte,2411601
Sao Bento do Trairi,2411700
Sao Fernando,2411809
Sao Francisco do Oeste,2411908
Sao Goncalo do Amarante,2412005
Sao Joao do Sabugi,2412104
Sao Jose de Mipibu,2412203
Sao Jose do Campestre,2412302
Sao Jose do Serido,2412401
Sao Miguel,2412500
Sao Miguel do Gostoso,2412559
Sao Paulo do Potengi,2412609
Sao Pedro,2412708
Sao Rafael,2412807
Sao Tome,2412906
Sao Vicente,2413003
Senador Eloi de Souza,2413102
Senador Georgino Avelino,2413201
Serra de Sao Bento,2413300
Serra do Mel,2413359
Serra Negra do Norte,2413409
Serrinha,2413508
Serrinha dos Pintos,2413557
Severiano Melo,2413607
Sitio Novo,2413706
Taboleiro Grande,2413805
Taipu,2413904
Tangara,2414001
Tenente Ananias,2414100
Tenente Laurentino Cruz,2414159
Tibau do Sul,2414209
Timbauba dos Batistas,2414308
Touros,2414407
Triunfo Potiguar,2414456
Umarizal,2414506
Upanema,2414605
Varzea,2414704
Venha-Ver,2414753
Vera Cruz,2414803
Vicosa,2414902
Vila Flor,2415008
Agua Branca,2500106
Aguiar,2500205
Alagoa Grande,2500304
Alagoa Nova,2500403
Alagoinha,2500502
Alcantil,2500536
Algodao de Jandaira,2500577
Alhandra,2500601
Sao Joao do Rio do Peixe,2500700
Amparo,2500734
Aparecida,2500775
Aracagi,2500809
Arara,2500908
Araruna,2501005
Areia,2501104
Areia de Baraunas,2501153
Areial,2501203
Aroeiras,2501302
Assuncao,2501351
Baia da Traicao,2501401
Bananeiras,2501500
Barauna,2501534
Barra de Santana,2501575
Barra de Santa Rosa,2501609
Barra de Sao Miguel,2501708
Bayeux,2501807
Belem,2501906
Belem do Brejo do Cruz,2502003
Bernardino Batista,2502052
Boa Ventura,2502102
Boa Vista,2502151
Bom Jesus,2502201
Bom Sucesso,2502300
Bonito de Santa Fe,2502409
Boqueirao,2502508
Igaracy,2502607
Borborema,2502706
Brejo do Cruz,2502805
Brejo dos Santos,2502904
Caapora,2503001
Cabaceiras,2503100
Cabedelo,2503209
Cachoeira dos Indios,2503308
Cacimba de Areia,2503407
Cacimba de Dentro,2503506
Cacimbas,2503555
Caicara,2503605
Cajazeiras,2503704
Cajazeirinhas,2503753
Caldas Brandao,2503803
Camalau,2503902
Campina Grande,2504009
Capim,2504033
Caraubas,2504074
Carrapateira,2504108
Casserengue,2504157
Catingueira,2504207
Catole do Rocha,2504306
Caturite,2504355
Conceicao,2504405
Condado,2504504
Conde,2504603
Congo,2504702
Coremas,2504801
Coxixola,2504850
Cruz do Espirito Santo,2504900
Cubati,2505006
Cuite,2505105
Cuitegi,2505204
Cuite de Mamanguape,2505238
Curral de Cima,2505279
Curral Velho,2505303
Damiao,2505352
Desterro,2505402
Vista Serrana,2505501
Diamante,2505600
Dona Ines,2505709
Duas Estradas,2505808
Emas,2505907
Esperanca,2506004
Fagundes,2506103
Frei Martinho,2506202
Gado Bravo,2506251
Guarabira,2506301
Gurinhem,2506400
Gurjao,2506509
Ibiara,2506608
Imaculada,2506707
Inga,2506806
Itabaiana,2506905
Itaporanga,2507002
Itapororoca,2507101
Itatuba,2507200
Jacarau,2507309
Jerico,2507408
Joao Pessoa,2507507
Juarez Tavora,2507606
Juazeirinho,2507705
Junco do Serido,2507804
Juripiranga,2507903
Juru,2508000
Lagoa,2508109
Lagoa de Dentro,2508208
Lagoa Seca,2508307
Lastro,2508406
Livramento,2508505
Logradouro,2508554
Lucena,2508604
Mae d'Agua,2508703
Malta,2508802
Mamanguape,2508901
Manaira,2509008
Marcacao,2509057
Mari,2509107
Marizopolis,2509156
Massaranduba,2509206
Mataraca,2509305
Matinhas,2509339
Mato Grosso,2509370
Matureia,2509396
Mogeiro,2509404
Montadas,2509503
Monte Horebe,2509602
Monteiro,2509701
Mulungu,2509800
Natuba,2509909
Nazarezinho,2510006
Nova Floresta,2510105
Nova Olinda,2510204
Nova Palmeira,2510303
Olho d'Agua,2510402
Olivedos,2510501
Ouro Velho,2510600
Parari,2510659
Passagem,2510709
Patos,2510808
Paulista,2510907
Pedra Branca,2511004
Pedra Lavrada,2511103
Pedras de Fogo,2511202
Pianco,2511301
Picui,2511400
Pilar,2511509
Piloes,2511608
Piloezinhos,2511707
Pirpirituba,2511806
Pitimbu,2511905
Pocinhos,2512002
Poco Dantas,2512036
Poco de Jose de Moura,2512077
Pombal,2512101
Prata,2512200
Princesa Isabel,2512309
Puxinana,2512408
Queimadas,2512507
Quixaba,2512606
Remigio,2512705
Pedro Regis,2512721
Riachao,2512747
Riachao do Bacamarte,2512754
Riachao do Poco,2512762
Riacho de Santo Antonio,2512788
Riacho dos Cavalos,2512804
Rio Tinto,2512903
Salgadinho,2513000
Salgado de Sao Felix,2513109
Santa Cecilia,2513158
Santa Cruz,2513208
Santa Helena,2513307
Santa Ines,2513356
Santa Luzia,2513406
Santana de Mangueira,2513505
Santana dos Garrotes,2513604
Joca Claudino,2513653
Santa Rita,2513703
Santa Teresinha,2513802
Santo Andre,2513851
Sao Bento,2513901
Sao Bentinho,2513927
Sao Domingos do Cariri,2513943
Sao Domingos,2513968
Sao Francisco,2513984
Sao Joao do Cariri,2514008
Sao Joao do Tigre,2514107
Sao Jose da Lagoa Tapada,2514206
Sao Jose de Caiana,2514305
Sao Jose de Espinharas,2514404
Sao Jose dos Ramos,2514453
Sao Jose de Piranhas,2514503
Sao Jose de Princesa,2514552
Sao Jose do Bonfim,2514602
Sao Jose do Brejo do Cruz,2514651
Sao Jose do Sabugi,2514701
Sao Jose dos Cordeiros,2514800
Sao Mamede,2514909
Sao Miguel de Taipu,2515005
Sao Sebastiao de Lagoa de Roca,2515104
Sao Sebastiao do Umbuzeiro,2515203
Sape,2515302
Sao Vicente do Serido,2515401
Serra Branca,2515500
Serra da Raiz,2515609
Serra Grande,2515708
Serra Redonda,2515807
Serraria,2515906
Sertaozinho,2515930
Sobrado,2515971
Solanea,2516003
Soledade,2516102
Sossego,2516151
Sousa,2516201
Sume,2516300
Tacima,2516409
Taperoa,2516508
Tavares,2516607
Teixeira,2516706
Tenorio,2516755
Triunfo,2516805
Uirauna,2516904
Umbuzeiro,2517001
Varzea,2517100
Vieiropolis,2517209
Zabele,2517407
Abreu e Lima,2600054
Afogados da Ingazeira,2600104
Afranio,2600203
Agrestina,2600302
Agua Preta,2600401
Aguas Belas,2600500
Alagoinha,2600609
Alianca,2600708
Altinho,2600807
Amaraji,2600906
Angelim,2601003
Aracoiaba,2601052
Araripina,2601102
Arcoverde,2601201
Barra de Guabiraba,2601300
Barreiros,2601409
Belem de Maria,2601508
Belem do Sao Francisco,2601607
Belo Jardim,2601706
Betania,2601805
Bezerros,2601904
Bodoco,2602001
Bom Conselho,2602100
Bom Jardim,2602209
Bonito,2602308
Brejao,2602407
Brejinho,2602506
Brejo da Madre de Deus,2602605
Buenos Aires,2602704
Buique,2602803
Cabo de Santo Agostinho,2602902
Cabrobo,2603009
Cachoeirinha,2603108
Caetes,2603207
Calcado,2603306
Calumbi,2603405
Camaragibe,2603454
Camocim de Sao Felix,2603504
Camutanga,2603603
Canhotinho,2603702
Capoeiras,2603801
Carnaiba,2603900
Carnaubeira da Penha,2603926
Carpina,2604007
Caruaru,2604106
Casinhas,2604155
Catende,2604205
Cedro,2604304
Cha de Alegria,2604403
Cha Grande,2604502
Condado,2604601
Correntes,2604700
Cortes,2604809
Cumaru,2604908
Cupira,2605004
Custodia,2605103
Dormentes,2605152
Escada,2605202
Exu,2605301
Feira Nova,2605400
NA,2605459
Ferreiros,2605509
Flores,2605608
Floresta,2605707
Frei Miguelinho,2605806
Gameleira,2605905
Garanhuns,2606002
Gloria do Goita,2606101
Goiana,2606200
Granito,2606309
Gravata,2606408
Iati,2606507
Ibimirim,2606606
Ibirajuba,2606705
Igarassu,2606804
Iguaracy,2606903
Inaja,2607000
Ingazeira,2607109
Ipojuca,2607208
Ipubi,2607307
Itacuruba,2607406
Itaiba,2607505
Ilha de Itamaraca,2607604
Itambe,2607653
Itapetim,2607703
Itapissuma,2607752
Itaquitinga,2607802
Jaboatao dos Guararapes,2607901
Jaqueira,2607950
Jatauba,2608008
Jatoba,2608057
Joao Alfredo,2608107
Joaquim Nabuco,2608206
Jucati,2608255
Jupi,2608305
Jurema,2608404
Lagoa do Carro,2608453
Lagoa de Itaenga,2608503
Lagoa do Ouro,2608602
Lagoa dos Gatos,2608701
Lagoa Grande,2608750
Lajedo,2608800
Limoeiro,2608909
Macaparana,2609006
Machados,2609105
Manari,2609154
Maraial,2609204
Mirandiba,2609303
Moreno,2609402
Nazare da Mata,2609501
Olinda,2609600
Orobo,2609709
Oroco,2609808
Ouricuri,2609907
Palmares,2610004
Palmeirina,2610103
Panelas,2610202
Paranatama,2610301
Parnamirim,2610400
Passira,2610509
Paudalho,2610608
Paulista,2610707
Pedra,2610806
Pesqueira,2610905
Petrolandia,2611002
Petrolina,2611101
Pocao,2611200
Pombos,2611309
Primavera,2611408
Quipapa,2611507
Quixaba,2611533
Recife,2611606
Riacho das Almas,2611705
Ribeirao,2611804
Rio Formoso,2611903
Saire,2612000
Salgadinho,2612109
Salgueiro,2612208
Saloa,2612307
Sanharo,2612406
Santa Cruz,2612455
Santa Cruz da Baixa Verde,2612471
Santa Cruz do Capibaribe,2612505
Santa Filomena,2612554
Santa Maria da Boa Vista,2612604
Santa Maria do Cambuca,2612703
Santa Terezinha,2612802
Sao Benedito do Sul,2612901
Sao Bento do Una,2613008
Sao Caitano,2613107
Sao Joao,2613206
Sao Joaquim do Monte,2613305
Sao Jose da Coroa Grande,2613404
Sao Jose do Belmonte,2613503
Sao Jose do Egito,2613602
Sao Lourenco da Mata,2613701
Sao Vicente Ferrer,2613800
Serra Talhada,2613909
Serrita,2614006
Sertania,2614105
Sirinhaem,2614204
Moreilandia,2614303
Solidao,2614402
Surubim,2614501
Tabira,2614600
Tacaimbo,2614709
Tacaratu,2614808
Tamandare,2614857
Taquaritinga do Norte,2615003
Terezinha,2615102
Terra Nova,2615201
Timbauba,2615300
Toritama,2615409
Tracunhaem,2615508
Trindade,2615607
Triunfo,2615706
Tupanatinga,2615805
Tuparetama,2615904
Venturosa,2616001
Verdejante,2616100
Vertente do Lerio,2616183
Vertentes,2616209
Vicencia,2616308
Vitoria de Santo Antao,2616407
Xexeu,2616506
Agua Branca,2700102
Anadia,2700201
Arapiraca,2700300
Atalaia,2700409
Barra de Santo Antonio,2700508
Barra de Sao Miguel,2700607
Batalha,2700706
Belem,2700805
Belo Monte,2700904
Boca da Mata,2701001
Branquinha,2701100
Cacimbinhas,2701209
Cajueiro,2701308
Campestre,2701357
Campo Alegre,2701407
Campo Grande,2701506
Canapi,2701605
Capela,2701704
Carneiros,2701803
Cha Preta,2701902
Coite do Noia,2702009
Colonia Leopoldina,2702108
Coqueiro Seco,2702207
Coruripe,2702306
Craibas,2702355
Delmiro Gouveia,2702405
Dois Riachos,2702504
Estrela de Alagoas,2702553
Feira Grande,2702603
Feliz Deserto,2702702
Flexeiras,2702801
Girau do Ponciano,2702900
Ibateguara,2703007
Igaci,2703106
Igreja Nova,2703205
Inhapi,2703304
Jacare dos Homens,2703403
Jacuipe,2703502
Japaratinga,2703601
Jaramataia,2703700
Jequia da Praia,2703759
Joaquim Gomes,2703809
Jundia,2703908
Junqueiro,2704005
Lagoa da Canoa,2704104
Limoeiro de Anadia,2704203
Maceio,2704302
Major Isidoro,2704401
Maragogi,2704500
Maravilha,2704609
Marechal Deodoro,2704708
Maribondo,2704807
Mar Vermelho,2704906
Mata Grande,2705002
Matriz de Camaragibe,2705101
Messias,2705200
Minador do Negrao,2705309
Monteiropolis,2705408
Murici,2705507
Novo Lino,2705606
Olho d'Agua das Flores,2705705
Olho d'Agua do Casado,2705804
Olho d'Agua Grande,2705903
Olivenca,2706000
Ouro Branco,2706109
Palestina,2706208
Palmeira dos Indios,2706307
Pao de Acucar,2706406
Pariconha,2706422
Paripueira,2706448
Passo de Camaragibe,2706505
Paulo Jacinto,2706604
Penedo,2706703
Piacabucu,2706802
Pilar,2706901
Pindoba,2707008
Piranhas,2707107
Poco das Trincheiras,2707206
Porto Calvo,2707305
Porto de Pedras,2707404
Porto Real do Colegio,2707503
Quebrangulo,2707602
Rio Largo,2707701
Roteiro,2707800
Santa Luzia do Norte,2707909
Santana do Ipanema,2708006
Santana do Mundau,2708105
Sao Bras,2708204
Sao Jose da Laje,2708303
Sao Jose da Tapera,2708402
Sao Luis do Quitunde,2708501
Sao Miguel dos Campos,2708600
Sao Miguel dos Milagres,2708709
Sao Sebastiao,2708808
Satuba,2708907
Senador Rui Palmeira,2708956
Tanque d'Arca,2709004
Taquarana,2709103
Teotonio Vilela,2709152
Traipu,2709202
Uniao dos Palmares,2709301
Vicosa,2709400
Amparo do Sao Francisco,2800100
Aquidaba,2800209
Aracaju,2800308
Araua,2800407
Areia Branca,2800506
Barra dos Coqueiros,2800605
Boquim,2800670
Brejo Grande,2800704
Campo do Brito,2801009
Canhoba,2801108
Caninde de Sao Francisco,2801207
Capela,2801306
Carira,2801405
Carmopolis,2801504
Cedro de Sao Joao,2801603
Cristinapolis,2801702
Cumbe,2801900
Divina Pastora,2802007
Estancia,2802106
Feira Nova,2802205
Frei Paulo,2802304
Gararu,2802403
General Maynard,2802502
Gracho Cardoso,2802601
Ilha das Flores,2802700
Indiaroba,2802809
Itabaiana,2802908
Itabaianinha,2803005
Itabi,2803104
Itaporanga d'Ajuda,2803203
Japaratuba,2803302
Japoata,2803401
Lagarto,2803500
Laranjeiras,2803609
Macambira,2803708
Malhada dos Bois,2803807
Malhador,2803906
Maruim,2804003
Moita Bonita,2804102
Monte Alegre de Sergipe,2804201
Muribeca,2804300
Neopolis,2804409
Nossa Senhora Aparecida,2804458
Nossa Senhora da Gloria,2804508
Nossa Senhora das Dores,2804607
Nossa Senhora de Lourdes,2804706
Nossa Senhora do Socorro,2804805
Pacatuba,2804904
Pedra Mole,2805000
Pedrinhas,2805109
Pinhao,2805208
Pirambu,2805307
Poco Redondo,2805406
Poco Verde,2805505
Porto da Folha,2805604
Propria,2805703
Riachao do Dantas,2805802
Riachuelo,2805901
Ribeiropolis,2806008
Rosario do Catete,2806107
Salgado,2806206
Santa Luzia do Itanhy,2806305
Santana do Sao Francisco,2806404
Santa Rosa de Lima,2806503
Santo Amaro das Brotas,2806602
Sao Cristovao,2806701
Sao Domingos,2806800
Sao Francisco,2806909
Sao Miguel do Aleixo,2807006
Simao Dias,2807105
Siriri,2807204
Telha,2807303
Tobias Barreto,2807402
Tomar do Geru,2807501
Umbauba,2807600
Abaira,2900108
Abare,2900207
Acajutiba,2900306
Adustina,2900355
Agua Fria,2900405
Erico Cardoso,2900504
Aiquara,2900603
Alagoinhas,2900702
Alcobaca,2900801
Almadina,2900900
Amargosa,2901007
Amelia Rodrigues,2901106
America Dourada,2901155
Anage,2901205
Andarai,2901304
Andorinha,2901353
Angical,2901403
Anguera,2901502
Antas,2901601
Antonio Cardoso,2901700
Antonio Goncalves,2901809
Apora,2901908
Apuarema,2901957
Aracatu,2902005
Aracas,2902054
Araci,2902104
Aramari,2902203
Arataca,2902252
Aratuipe,2902302
Aurelino Leal,2902401
Baianopolis,2902500
Baixa Grande,2902609
Banzae,2902658
Barra,2902708
Barra da Estiva,2902807
Barra do Choca,2902906
Barra do Mendes,2903003
Barra do Rocha,2903102
Barreiras,2903201
Barro Alto,2903235
Barrocas,2903276
Barro Preto,2903300
Belmonte,2903409
Belo Campo,2903508
Biritinga,2903607
Boa Nova,2903706
Boa Vista do Tupim,2903805
Bom Jesus da Lapa,2903904
Bom Jesus da Serra,2903953
Boninal,2904001
Bonito,2904050
Boquira,2904100
Botupora,2904209
Brejoes,2904308
Brejolandia,2904407
Brotas de Macaubas,2904506
Brumado,2904605
Buerarema,2904704
Buritirama,2904753
Caatiba,2904803
Cabaceiras do Paraguacu,2904852
Cachoeira,2904902
Cacule,2905008
Caem,2905107
Caetanos,2905156
Caetite,2905206
Cafarnaum,2905305
Cairu,2905404
Caldeirao Grande,2905503
Camacan,2905602
Camacari,2905701
Camamu,2905800
Campo Alegre de Lourdes,2905909
Campo Formoso,2906006
Canapolis,2906105
Canarana,2906204
Canavieiras,2906303
Candeal,2906402
Candeias,2906501
Candiba,2906600
Candido Sales,2906709
Cansancao,2906808
Canudos,2906824
Capela do Alto Alegre,2906857
Capim Grosso,2906873
Caraibas,2906899
Caravelas,2906907
Cardeal da Silva,2907004
Carinhanha,2907103
Casa Nova,2907202
Castro Alves,2907301
Catolandia,2907400
Catu,2907509
Caturama,2907558
Central,2907608
Chorrocho,2907707
Cicero Dantas,2907806
Cipo,2907905
Coaraci,2908002
Cocos,2908101
Conceicao da Feira,2908200
Conceicao do Almeida,2908309
Conceicao do Coite,2908408
Conceicao do Jacuipe,2908507
Conde,2908606
Condeuba,2908705
Contendas do Sincora,2908804
Coracao de Maria,2908903
Cordeiros,2909000
Coribe,2909109
Coronel Joao Sa,2909208
Correntina,2909307
Cotegipe,2909406
Cravolandia,2909505
Crisopolis,2909604
Cristopolis,2909703
Cruz das Almas,2909802
Curaca,2909901
Dario Meira,2910008
Dias d'Avila,2910057
Dom Basilio,2910107
Dom Macedo Costa,2910206
Elisio Medrado,2910305
Encruzilhada,2910404
Entre Rios,2910503
Esplanada,2910602
Euclides da Cunha,2910701
Eunapolis,2910727
Fatima,2910750
Feira da Mata,2910776
Feira de Santana,2910800
Filadelfia,2910859
Firmino Alves,2910909
Floresta Azul,2911006
Formosa do Rio Preto,2911105
Gandu,2911204
Gaviao,2911253
Gentio do Ouro,2911303
Gloria,2911402
Gongogi,2911501
Governador Mangabeira,2911600
Guajeru,2911659
Guanambi,2911709
Guaratinga,2911808
Heliopolis,2911857
Iacu,2911907
Ibiassuce,2912004
Ibicarai,2912103
Ibicoara,2912202
Ibicui,2912301
Ibipeba,2912400
Ibipitanga,2912509
Ibiquera,2912608
Ibirapitanga,2912707
Ibirapua,2912806
Ibirataia,2912905
Ibitiara,2913002
Ibitita,2913101
Ibotirama,2913200
Ichu,2913309
Igapora,2913408
Igrapiuna,2913457
Iguai,2913507
Ilheus,2913606
Inhambupe,2913705
Ipecaeta,2913804
Ipiau,2913903
Ipira,2914000
Ipupiara,2914109
Irajuba,2914208
Iramaia,2914307
Iraquara,2914406
Irara,2914505
Irece,2914604
Itabela,2914653
Itaberaba,2914703
Itabuna,2914802
Itacare,2914901
Itaete,2915007
Itagi,2915106
Itagiba,2915205
Itagimirim,2915304
Itaguacu da Bahia,2915353
Itaju do Colonia,2915403
Itajuipe,2915502
Itamaraju,2915601
Itamari,2915700
Itambe,2915809
Itanagra,2915908
Itanhem,2916005
Itaparica,2916104
Itape,2916203
Itapebi,2916302
Itapetinga,2916401
Itapicuru,2916500
Itapitanga,2916609
Itaquara,2916708
Itarantim,2916807
Itatim,2916856
Itirucu,2916906
Itiuba,2917003
Itororo,2917102
Ituacu,2917201
Itubera,2917300
Iuiu,2917334
Jaborandi,2917359
Jacaraci,2917409
Jacobina,2917508
Jaguaquara,2917607
Jaguarari,2917706
Jaguaripe,2917805
Jandaira,2917904
Jequie,2918001
Jeremoabo,2918100
Jiquirica,2918209
Jitauna,2918308
Joao Dourado,2918357
Juazeiro,2918407
Jucurucu,2918456
Jussara,2918506
Jussari,2918555
Jussiape,2918605
Lafaiete Coutinho,2918704
Lagoa Real,2918753
Laje,2918803
Lajedao,2918902
Lajedinho,2919009
Lajedo do Tabocal,2919058
Lamarao,2919108
Lapao,2919157
Lauro de Freitas,2919207
Lencois,2919306
Licinio de Almeida,2919405
Livramento de Nossa Senhora,2919504
Luis Eduardo Magalhaes,2919553
Macajuba,2919603
Macarani,2919702
Macaubas,2919801
Macurure,2919900
Madre de Deus,2919926
Maetinga,2919959
Maiquinique,2920007
Mairi,2920106
Malhada,2920205
Malhada de Pedras,2920304
Manoel Vitorino,2920403
Mansidao,2920452
Maracas,2920502
Maragogipe,2920601
Marau,2920700
Marcionilio Souza,2920809
Mascote,2920908
Mata de Sao Joao,2921005
Matina,2921054
Medeiros Neto,2921104
Miguel Calmon,2921203
Milagres,2921302
Mirangaba,2921401
Mirante,2921450
Monte Santo,2921500
Morpara,2921609
Morro do Chapeu,2921708
Mortugaba,2921807
Mucuge,2921906
Mucuri,2922003
Mulungu do Morro,2922052
Mundo Novo,2922102
Muniz Ferreira,2922201
Muquem do Sao Francisco,2922250
Muritiba,2922300
Mutuipe,2922409
Nazare,2922508
Nilo Pecanha,2922607
Nordestina,2922656
Nova Canaa,2922706
Nova Fatima,2922730
Nova Ibia,2922755
Nova Itarana,2922805
Nova Redencao,2922854
Nova Soure,2922904
Nova Vicosa,2923001
Novo Horizonte,2923035
Novo Triunfo,2923050
Olindina,2923100
Oliveira dos Brejinhos,2923209
Ouricangas,2923308
Ourolandia,2923357
Palmas de Monte Alto,2923407
Palmeiras,2923506
Paramirim,2923605
Paratinga,2923704
Paripiranga,2923803
Pau Brasil,2923902
Paulo Afonso,2924009
Pe de Serra,2924058
Pedrao,2924108
Pedro Alexandre,2924207
Piata,2924306
Pilao Arcado,2924405
Pindai,2924504
Pindobacu,2924603
Pintadas,2924652
Pirai do Norte,2924678
Piripa,2924702
Piritiba,2924801
Planaltino,2924900
Planalto,2925006
Pocoes,2925105
Pojuca,2925204
Ponto Novo,2925253
Porto Seguro,2925303
Potiragua,2925402
Prado,2925501
Presidente Dutra,2925600
Presidente Janio Quadros,2925709
Presidente Tancredo Neves,2925758
Queimadas,2925808
Quijingue,2925907
Quixabeira,2925931
Rafael Jambeiro,2925956
Remanso,2926004
Retirolandia,2926103
Riachao das Neves,2926202
Riachao do Jacuipe,2926301
Riacho de Santana,2926400
Ribeira do Amparo,2926509
Ribeira do Pombal,2926608
Ribeirao do Largo,2926657
Rio de Contas,2926707
Rio do Antonio,2926806
Rio do Pires,2926905
Rio Real,2927002
Rodelas,2927101
Ruy Barbosa,2927200
Salinas da Margarida,2927309
Salvador,2927408
Santa Barbara,2927507
Santa Brigida,2927606
Santa Cruz Cabralia,2927705
Santa Cruz da Vitoria,2927804
Santa Ines,2927903
Santaluz,2928000
Santa Luzia,2928059
Santa Maria da Vitoria,2928109
Santana,2928208
Santanopolis,2928307
Santa Rita de Cassia,2928406
Santa Terezinha,2928505
Santo Amaro,2928604
Santo Antonio de Jesus,2928703
Santo Estevao,2928802
Sao Desiderio,2928901
Sao Domingos,2928950
Sao Felix,2929008
Sao Felix do Coribe,2929057
Sao Felipe,2929107
Sao Francisco do Conde,2929206
Sao Gabriel,2929255
Sao Goncalo dos Campos,2929305
Sao Jose da Vitoria,2929354
Sao Jose do Jacuipe,2929370
Sao Miguel das Matas,2929404
Sao Sebastiao do Passe,2929503
Sapeacu,2929602
Satiro Dias,2929701
Saubara,2929750
Saude,2929800
Seabra,2929909
Sebastiao Laranjeiras,2930006
Senhor do Bonfim,2930105
Serra do Ramalho,2930154
Sento Se,2930204
Serra Dourada,2930303
Serra Preta,2930402
Serrinha,2930501
Serrolandia,2930600
Simoes Filho,2930709
Sitio do Mato,2930758
Sitio do Quinto,2930766
Sobradinho,2930774
Souto Soares,2930808
Tabocas do Brejo Velho,2930907
Tanhacu,2931004
Tanque Novo,2931053
Tanquinho,2931103
Taperoa,2931202
Tapiramuta,2931301
Teixeira de Freitas,2931350
Teodoro Sampaio,2931400
Teofilandia,2931509
Teolandia,2931608
Terra Nova,2931707
Tremedal,2931806
Tucano,2931905
Uaua,2932002
Ubaira,2932101
Ubaitaba,2932200
Ubata,2932309
Uibai,2932408
Umburanas,2932457
Una,2932507
Urandi,2932606
Urucuca,2932705
Utinga,2932804
Valenca,2932903
Valente,2933000
Varzea da Roca,2933059
Varzea do Poco,2933109
Varzea Nova,2933158
Varzedo,2933174
Vera Cruz,2933208
Vereda,2933257
Vitoria da Conquista,2933307
Wagner,2933406
Wanderley,2933455
Wenceslau Guimaraes,2933505
Xique-Xique,2933604
Abadia dos Dourados,3100104
Abaete,3100203
Abre Campo,3100302
Acaiaca,3100401
Acucena,3100500
Agua Boa,3100609
Agua Comprida,3100708
Aguanil,3100807
Aguas Formosas,3100906
Aguas Vermelhas,3101003
Aimores,3101102
Aiuruoca,3101201
Alagoa,3101300
Albertina,3101409
Alem Paraiba,3101508
Alfenas,3101607
Alfredo Vasconcelos,3101631
Almenara,3101706
Alpercata,3101805
Alpinopolis,3101904
Alterosa,3102001
Alto Caparao,3102050
Alto Rio Doce,3102100
Alvarenga,3102209
Alvinopolis,3102308
Alvorada de Minas,3102407
Amparo do Serra,3102506
Andradas,3102605
Cachoeira de Pajeu,3102704
Andrelandia,3102803
Angelandia,3102852
Antonio Carlos,3102902
Antonio Dias,3103009
Antonio Prado de Minas,3103108
Aracai,3103207
Aracitaba,3103306
Aracuai,3103405
Araguari,3103504
Arantina,3103603
Araponga,3103702
Arapora,3103751
Arapua,3103801
Araujos,3103900
Araxa,3104007
Arceburgo,3104106
Arcos,3104205
Areado,3104304
Argirita,3104403
Aricanduva,3104452
Arinos,3104502
Astolfo Dutra,3104601
Ataleia,3104700
Augusto de Lima,3104809
Baependi,3104908
Baldim,3105004
Bambui,3105103
Bandeira,3105202
Bandeira do Sul,3105301
Barao de Cocais,3105400
Barao de Monte Alto,3105509
Barbacena,3105608
Barra Longa,3105707
Barroso,3105905
Bela Vista de Minas,3106002
Belmiro Braga,3106101
Belo Horizonte,3106200
Belo Oriente,3106309
Belo Vale,3106408
Berilo,3106507
Bertopolis,3106606
Berizal,3106655
Betim,3106705
Bias Fortes,3106804
Bicas,3106903
Biquinhas,3107000
Boa Esperanca,3107109
Bocaina de Minas,3107208
Bocaiuva,3107307
Bom Despacho,3107406
Bom Jardim de Minas,3107505
Bom Jesus da Penha,3107604
Bom Jesus do Amparo,3107703
Bom Jesus do Galho,3107802
Bom Repouso,3107901
Bom Sucesso,3108008
Bonfim,3108107
Bonfinopolis de Minas,3108206
Bonito de Minas,3108255
Borda da Mata,3108305
Botelhos,3108404
Botumirim,3108503
Brasilandia de Minas,3108552
Brasilia de Minas,3108602
Bras Pires,3108701
Braunas,3108800
Brazopolis,3108909
Brumadinho,3109006
Bueno Brandao,3109105
Buenopolis,3109204
Bugre,3109253
Buritis,3109303
Buritizeiro,3109402
Cabeceira Grande,3109451
Cabo Verde,3109501
Cachoeira da Prata,3109600
